City,StateProvinceName,CountryRegionName,PostalCode,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,AgeInYears,BikeBuyer,AvgMonthSpend
Bremerton,Washington,United States,98312,Bachelors,Skilled Manual,F,M,1,2,1,2,53231,43,1,51.35
Burbank,California,United States,91502,Graduate Degree,Professional,M,M,1,2,0,0,131594,23,1,51.83
Lakewood,California,United States,90712,Bachelors,Management,M,S,1,3,0,0,105435,34,1,60.36
Maidenhead,England,United Kingdom,SL67RJ,Graduate Degree,Management,F,M,1,0,2,2,105879,35,1,54.68
Lynnwood,Washington,United States,98036,Partial College,Manual,F,S,1,1,0,0,28314,44,0,46.59
Cergy,Val d'Oise,France,95000,Partial College,Management,M,M,1,3,0,2,107290,32,1,51.43
Milsons Point,New South Wales,Australia,2061,Bachelors,Skilled Manual,F,M,1,2,1,2,59780,58,1,52.74
Dresden,Hessen,Germany,1071,Bachelors,Management,M,M,1,2,0,0,109727,29,1,51.69
Metchosin,British Columbia,Canada,V9,Bachelors,Management,M,M,1,2,1,2,109085,32,1,61.02
Matraville,New South Wales,Australia,2036,Partial High School,Skilled Manual,F,M,1,2,0,2,53079,48,1,48.26
Paris,Seine (Paris),France,75005,Bachelors,Management,F,M,1,2,0,0,111648,23,0,50.87
Sulzbach Taunus,Saarland,Germany,66272,Partial College,Skilled Manual,M,S,0,0,0,0,59582,21,1,50.01
East Brisbane,Queensland,Australia,4169,Bachelors,Manual,M,M,0,1,1,2,34874,33,1,54.15
San Francisco,California,United States,94109,Bachelors,Management,M,S,1,2,0,0,110367,32,1,57.06
North Ryde,New South Wales,Australia,2113,Partial High School,Skilled Manual,M,S,0,1,0,0,55949,26,0,50.37
Fremont,California,United States,94536,Bachelors,Skilled Manual,F,S,1,1,0,1,57091,52,0,52.52
Woodland Hills,California,United States,91364,Partial High School,Manual,M,S,0,1,0,0,34018,43,0,51.42
Daly City,California,United States,94015,Partial College,Management,M,M,1,1,0,0,111929,19,0,50.99
Redwood City,California,United States,94063,Partial High School,Manual,M,M,1,1,0,2,30992,43,0,53.92
Coronado,California,United States,92118,Partial College,Manual,F,M,1,0,1,2,29509,45,0,49.26
Perth,South Australia,Australia,6006,Bachelors,Professional,M,S,1,1,0,0,134507,24,1,53.74
Bellingham,Washington,United States,98225,Partial College,Management,M,S,0,3,0,0,108942,18,1,51.8
Bremerton,Washington,United States,98312,Bachelors,Clerical,M,M,1,1,1,2,79360,67,1,51.09
Spokane,Washington,United States,99202,High School,Skilled Manual,F,S,1,1,0,0,52326,40,0,48.42
Warrington,England,United Kingdom,WA1,Partial High School,Skilled Manual,F,M,1,1,1,2,55425,50,1,48.95
Cliffside,British Columbia,Canada,V8Y 1L1,Graduate Degree,Skilled Manual,F,M,0,1,0,2,53626,26,1,47.96
Spokane,Washington,United States,99202,Partial College,Clerical,F,M,1,2,0,2,86771,37,1,50.3
Cambridge,England,United Kingdom,CB4 4BZ,Partial College,Clerical,F,S,1,1,0,0,79256,39,0,50.64
National City,California,United States,91950,Graduate Degree,Clerical,M,S,0,1,0,0,81165,29,1,50.17
Lavender Bay,New South Wales,Australia,2060,Graduate Degree,Professional,F,M,1,3,0,3,129902,66,1,52.41
Burlingame,California,United States,94010,Partial High School,Skilled Manual,M,S,1,1,0,0,51339,43,1,57.93
Woodburn,Oregon,United States,97071,Bachelors,Management,F,M,1,1,1,2,111026,63,1,52.84
Bellingham,Washington,United States,98225,Graduate Degree,Professional,M,M,1,4,0,2,131609,39,0,57.95
Redwood City,California,United States,94063,High School,Skilled Manual,M,M,1,1,0,2,56285,35,0,49.54
Beverly Hills,California,United States,90210,Partial College,Manual,F,S,0,0,0,0,26039,40,0,44.27
South Melbourne,Victoria,Australia,3205,Bachelors,Management,F,M,0,2,0,0,108306,18,0,51.17
Cranbourne,Victoria,Australia,3977,Partial High School,Manual,M,M,0,0,1,2,30154,26,0,46.11
Haney,British Columbia,Canada,V2W 1W2,High School,Skilled Manual,F,M,0,1,0,0,60249,17,0,49.01
Walla Walla,Washington,United States,99362,Partial College,Skilled Manual,F,S,0,0,0,0,55119,22,0,49.45
Matraville,New South Wales,Australia,2036,Partial High School,Skilled Manual,F,S,0,1,0,0,61057,25,0,50.99
Walla Walla,Washington,United States,99362,Partial College,Management,M,S,1,3,0,0,109709,32,0,60.68
Milsons Point,New South Wales,Australia,2061,Partial High School,Skilled Manual,F,S,1,1,0,0,59241,46,0,48.52
N. Vancouver,British Columbia,Canada,V7L 4J4,Partial High School,Manual,M,S,0,0,0,0,31592,17,0,50.09
London,England,United Kingdom,SE1 8HL,High School,Manual,M,S,0,1,0,0,26921,31,0,52.14
Gold Coast,Queensland,Australia,4217,Bachelors,Clerical,F,M,1,1,1,1,81862,28,1,53.13
Walla Walla,Washington,United States,99362,Partial High School,Skilled Manual,M,M,1,0,1,2,52911,44,1,48.69
Gloucestershire,England,United Kingdom,GL7 1RY,Graduate Degree,Clerical,F,S,0,2,0,0,86191,28,1,53.58
San Gabriel,California,United States,91776,Graduate Degree,Skilled Manual,F,S,1,1,0,0,55751,43,0,52.44
South Melbourne,Victoria,Australia,3205,Partial High School,Skilled Manual,F,M,1,2,2,2,61120,48,1,49.33
Newcastle upon Tyne,England,United Kingdom,NT20,Partial College,Management,M,M,1,2,1,2,108994,44,1,56.7
Rockhampton,Queensland,Australia,4700,Graduate Degree,Clerical,M,S,0,2,0,0,78367,31,1,49.55
Bellflower,California,United States,90706,Bachelors,Clerical,M,M,1,1,0,1,78595,34,0,54.65
Marysville,Washington,United States,98270,Graduate Degree,Management,F,M,1,1,0,1,112480,25,1,51.68
Seattle,Washington,United States,98104,Partial College,Skilled Manual,M,S,0,2,0,0,56887,19,1,51.19
Newton,British Columbia,Canada,V2M1S6,Partial College,Manual,M,S,0,0,0,0,34642,22,1,48.74
Langford,British Columbia,Canada,V9,Partial College,Clerical,F,M,1,1,1,1,86622,35,1,50.72
Bellflower,California,United States,90706,High School,Skilled Manual,F,S,1,2,0,0,55862,49,1,50.54
Bellflower,California,United States,90706,Partial College,Skilled Manual,M,S,0,1,0,0,52032,17,1,48.36
W. Linn,Oregon,United States,97068,Graduate Degree,Professional,M,M,1,1,2,2,132734,25,1,52.99
Cliffside,British Columbia,Canada,V8Y 1L1,Partial High School,Manual,F,S,0,1,0,0,35666,19,0,48.33
Ballard,Washington,United States,98107,Partial High School,Skilled Manual,F,S,0,0,0,0,57232,18,0,52.63
Hobart,Tasmania,Australia,7001,High School,Clerical,F,S,0,2,0,0,86460,19,1,51.63
Coronado,California,United States,92118,Graduate Degree,Professional,M,S,1,2,0,0,128569,29,1,55.07
Neunkirchen,Saarland,Germany,66578,Partial College,Skilled Manual,F,S,0,2,0,0,56801,19,1,52.41
Woolston,England,United Kingdom,WA1 4SY,Partial College,Skilled Manual,F,S,1,1,0,0,52768,46,0,48.91
Concord,California,United States,94519,High School,Manual,F,M,0,0,0,0,34240,19,0,46.44
Silverwater,New South Wales,Australia,2264,Bachelors,Management,F,M,1,2,0,0,103855,21,0,51.47
München,Nordrhein-Westfalen,Germany,80074,Bachelors,Skilled Manual,F,M,1,0,0,1,56973,31,1,48.12
Stuttgart,Saarland,Germany,70452,Partial College,Manual,F,M,1,0,0,2,32282,45,1,46.27
Paris,Seine (Paris),France,75007,Bachelors,Professional,M,M,1,2,1,2,130934,28,1,51.76
Newcastle upon Tyne,England,United Kingdom,NT20,Graduate Degree,Management,M,S,0,2,0,0,108996,27,0,51.62
Bellingham,Washington,United States,98225,Graduate Degree,Clerical,M,S,0,2,0,0,78437,30,1,58.75
Goulburn,New South Wales,Australia,2580,Bachelors,Clerical,M,M,0,1,0,0,83170,22,1,50.68
Oak Bay,British Columbia,Canada,V8P,Partial High School,Skilled Manual,M,M,1,0,1,2,60691,42,1,54.44
Liverpool,England,United Kingdom,L4 4HB,Bachelors,Management,F,M,1,1,1,2,107737,33,1,52.73
Burien,Washington,United States,98168,Partial College,Skilled Manual,M,S,0,1,0,0,55019,22,0,52.22
Croix,Nord,France,59170,Partial College,Management,F,S,1,1,0,0,111422,34,0,52.5
Puyallup,Washington,United States,98371,Graduate Degree,Manual,F,M,1,1,0,2,27941,57,0,44.99
Les Ulis,Essonne,France,91940,Bachelors,Management,M,M,1,1,1,1,105624,26,1,52.16
London,England,United Kingdom,W1N 9FA,Graduate Degree,Management,F,M,1,2,1,2,111852,34,1,54.62
Oakland,California,United States,94611,Partial College,Clerical,M,M,0,2,0,0,82878,18,0,49.87
Port Hammond,British Columbia,Canada,V6B 3P7,Bachelors,Manual,M,M,0,0,0,1,29987,28,0,46.38
Colma,California,United States,94014,High School,Skilled Manual,M,S,0,1,0,0,53778,21,1,50.83
Kirkland,Washington,United States,98033,Graduate Degree,Clerical,F,M,1,3,1,2,76989,53,1,51.08
Sooke,British Columbia,Canada,V0,Graduate Degree,Manual,M,M,0,1,0,2,27189,24,0,45.63
Oxford,England,United Kingdom,OX1,Bachelors,Clerical,M,M,1,3,0,2,82883,35,1,53.43
Paderborn,Nordrhein-Westfalen,Germany,33098,Partial College,Skilled Manual,M,S,1,1,1,1,56699,52,1,48.36
West Covina,California,United States,91791,Partial College,Skilled Manual,F,M,0,1,0,0,56738,18,0,47.99
Bottrop,Nordrhein-Westfalen,Germany,46236,Partial College,Clerical,F,S,0,1,0,0,80715,18,0,52.75
Palo Alto,California,United States,94303,Partial College,Manual,F,M,1,1,1,2,33176,36,1,47.33
Victoria,British Columbia,Canada,V8V,Partial High School,Skilled Manual,M,S,0,2,0,0,51021,17,1,51.87
Redwood City,California,United States,94063,Partial College,Skilled Manual,F,M,0,1,0,0,58361,24,0,49.45
Newcastle,New South Wales,Australia,2300,Partial College,Clerical,F,M,0,2,0,0,86643,18,1,50.56
Lille,Nord,France,59000,Partial College,Clerical,M,M,1,2,1,2,77801,33,1,61.26
Burien,Washington,United States,98168,Bachelors,Management,F,S,0,1,0,0,105113,28,0,55.31
Beaverton,Oregon,United States,97005,Bachelors,Clerical,F,M,1,3,0,2,81187,56,0,49.72
Hamburg,Hamburg,Germany,20354,Partial High School,Manual,M,M,0,0,0,2,36208,31,0,51.29
Courbevoie,Hauts de Seine,France,92400,Partial College,Management,F,M,1,3,0,1,102435,34,1,51.61
Rhodes,New South Wales,Australia,2138,Partial College,Skilled Manual,F,S,1,1,0,0,60188,47,0,50.06
San Gabriel,California,United States,91776,Bachelors,Clerical,M,M,1,2,1,1,82124,32,1,61.21
Warrnambool,Victoria,Australia,3280,Bachelors,Clerical,M,S,0,2,0,0,78232,31,1,54.98
Goulburn,New South Wales,Australia,2580,Partial College,Clerical,M,M,1,2,1,2,85534,36,1,54.61
Port Orchard,Washington,United States,98366,High School,Manual,F,S,0,1,0,0,32479,20,0,47.1
Saint Ouen,Charente-Maritime,France,17490,Bachelors,Skilled Manual,F,M,0,0,0,0,53846,24,0,48.27
Bremerton,Washington,United States,98312,Bachelors,Clerical,M,S,1,0,0,0,77374,37,1,55.23
Versailles,Yveline,France,78000,Partial College,Skilled Manual,F,S,1,1,0,0,57093,44,0,48.9
London,England,United Kingdom,SW8 4BG,Partial High School,Skilled Manual,M,S,0,1,0,0,54863,22,1,50.33
Stoke-on-Trent,England,United Kingdom,AS23,Bachelors,Skilled Manual,M,M,1,1,1,1,53516,33,0,60.01
Paris,Seine (Paris),France,75007,Bachelors,Management,F,M,1,1,0,1,106833,42,1,51.31
Dunkerque,Nord,France,59140,Partial College,Skilled Manual,M,M,1,0,0,2,55669,33,1,48.75
Boulogne-Billancourt,Hauts de Seine,France,92100,Partial High School,Manual,F,S,0,1,0,0,33116,17,0,47.88
Gold Coast,Queensland,Australia,4217,High School,Clerical,F,M,1,1,0,2,79189,45,0,49.98
Los Angeles,California,United States,90012,Graduate Degree,Clerical,M,S,1,3,0,0,79677,43,1,55.05
Downey,California,United States,90241,Bachelors,Clerical,F,S,0,2,0,0,80203,31,1,53.89
Kiel,Saarland,Germany,24044,Graduate Degree,Skilled Manual,M,M,1,1,0,2,58517,36,0,57.32
South Melbourne,Victoria,Australia,3205,High School,Clerical,M,M,1,1,1,1,82743,26,1,51.52
Braunschweig,Nordrhein-Westfalen,Germany,38001,Partial High School,Skilled Manual,M,M,0,0,0,0,57989,22,1,48.75
Lancaster,England,United Kingdom,LA1 1LN,Bachelors,Professional,M,M,1,1,0,2,132451,53,1,52.14
Geelong,Victoria,Australia,3220,Partial High School,Skilled Manual,M,S,1,1,0,0,56964,42,0,48.63
Newcastle upon Tyne,England,United Kingdom,NT20,Bachelors,Manual,M,S,0,1,0,0,29839,27,0,45.96
Imperial Beach,California,United States,91932,Partial High School,Manual,M,M,1,1,1,2,31999,42,0,50.35
Lake Oswego,Oregon,United States,97034,Partial College,Clerical,M,M,1,2,0,2,77492,41,1,50.8
Marysville,Washington,United States,98270,Bachelors,Manual,M,S,0,0,0,0,37195,38,1,51.88
Caloundra,Queensland,Australia,4551,Partial College,Management,M,S,1,0,0,0,103354,42,1,55.6
Portland,Oregon,United States,97205,Graduate Degree,Skilled Manual,F,M,0,0,1,1,53969,26,1,51.93
Woodburn,Oregon,United States,97071,Graduate Degree,Management,F,S,1,1,0,0,107287,31,0,52.33
Los Angeles,California,United States,90012,Bachelors,Management,M,M,1,2,1,2,111371,52,1,54.35
San Gabriel,California,United States,91776,Partial College,Clerical,F,S,1,1,0,0,80169,35,0,49.38
Coronado,California,United States,92118,Graduate Degree,Manual,F,S,0,0,0,0,32995,25,0,48.22
Colma,California,United States,94014,Bachelors,Clerical,F,S,1,1,1,1,79046,51,0,50.3
Geelong,Victoria,Australia,3220,Graduate Degree,Manual,M,M,1,1,1,2,34536,66,1,49.99
Cliffside,British Columbia,Canada,V8Y 1L1,High School,Manual,M,M,1,0,2,2,27942,39,0,49.28
Bremerton,Washington,United States,98312,Bachelors,Management,F,S,0,3,0,0,109299,28,1,52.86
Poing,Saarland,Germany,66041,Partial College,Clerical,M,M,0,1,0,0,83935,20,0,50.15
Sunbury,Victoria,Australia,3429,Bachelors,Skilled Manual,M,S,0,1,0,0,61051,34,1,57.27
Hamburg,Hamburg,Germany,20354,High School,Clerical,F,M,1,3,1,1,86764,40,1,51.68
Cranbourne,Victoria,Australia,3977,Partial College,Clerical,M,M,1,2,0,3,78419,57,0,49.7
Bremerton,Washington,United States,98312,Graduate Degree,Management,M,M,1,2,1,2,110153,38,1,53.67
Bremerton,Washington,United States,98312,Bachelors,Professional,M,M,1,2,0,2,138941,54,0,53.05
East Brisbane,Queensland,Australia,4169,Bachelors,Management,F,S,1,2,0,0,110326,32,1,51.26
San Carlos,California,United States,94070,Bachelors,Management,M,M,1,2,2,2,105525,49,1,53.83
Les Ulis,Essonne,France,91940,High School,Skilled Manual,F,M,1,1,2,2,52152,52,1,50.74
Issaquah,Washington,United States,98027,Graduate Degree,Professional,M,M,1,3,0,1,131875,27,1,51.84
Daly City,California,United States,94015,Graduate Degree,Skilled Manual,F,M,1,1,0,2,58683,37,0,48.01
Stuttgart,Saarland,Germany,70511,Partial College,Clerical,M,S,0,1,0,0,81000,29,0,53.36
Wollongong,New South Wales,Australia,2500,Bachelors,Manual,M,M,1,0,2,2,32703,56,1,46.08
Paris,Seine (Paris),France,75016,Bachelors,Clerical,M,M,1,2,2,2,84096,27,1,51.56
Langley,British Columbia,Canada,V3A 4R2,Partial College,Management,F,M,1,1,1,1,104666,39,1,53.82
Issaquah,Washington,United States,98027,Bachelors,Clerical,M,S,1,2,0,1,87044,52,0,52.53
Milsons Point,New South Wales,Australia,2061,Bachelors,Manual,F,S,0,1,0,0,33706,30,0,48.11
Cliffside,British Columbia,Canada,V8Y 1L1,Bachelors,Skilled Manual,F,M,1,1,1,2,54698,55,1,49.88
Hamburg,Hamburg,Germany,20354,Partial College,Clerical,F,S,0,2,0,0,76405,18,0,50.8
Santa Monica,California,United States,90401,Bachelors,Manual,M,M,1,1,1,2,34166,48,1,50.59
Burbank,California,United States,91502,Graduate Degree,Management,M,M,1,2,0,2,108887,57,0,51.61
Oregon City,Oregon,United States,97045,Partial College,Clerical,F,M,0,3,0,0,86709,22,0,50.64
Seattle,Washington,United States,98104,Partial College,Clerical,M,M,1,0,0,1,83799,36,1,56.59
Offenbach,Saarland,Germany,63009,Partial College,Clerical,F,S,0,2,0,0,80489,18,0,50.21
Lynnwood,Washington,United States,98036,Partial College,Management,F,M,1,2,0,2,107806,41,1,51.3
Puyallup,Washington,United States,98371,High School,Manual,M,M,1,1,0,2,29369,45,0,46.15
Glendale,California,United States,91203,Graduate Degree,Professional,M,M,1,3,0,2,128063,43,1,52.07
Woodland Hills,California,United States,91364,Partial College,Skilled Manual,M,M,1,0,2,2,51600,47,1,48.76
Burbank,California,United States,91502,Partial College,Skilled Manual,M,M,1,1,0,2,57173,39,0,53.92
Bobigny,Seine Saint Denis,France,93000,Partial College,Skilled Manual,M,S,0,1,0,0,54050,39,0,51.04
Victoria,British Columbia,Canada,V8V,Partial College,Skilled Manual,M,M,1,1,1,1,53657,36,1,50.1
Frankfurt am Main,Hamburg,Germany,60082,Partial College,Manual,F,S,0,1,0,0,31128,19,0,49.49
Bobigny,Seine Saint Denis,France,93000,High School,Manual,M,S,0,0,0,0,28837,32,0,48.91
Milsons Point,New South Wales,Australia,2061,Bachelors,Clerical,F,M,1,2,1,1,82838,34,1,51.69
Cheltenham,England,United Kingdom,GL50,High School,Clerical,M,M,1,2,1,2,82407,43,1,61.65
Woodburn,Oregon,United States,97071,Graduate Degree,Management,F,M,1,2,0,2,110461,60,0,51.66
Frankfurt am Main,Hamburg,Germany,60082,Bachelors,Clerical,M,M,0,3,0,0,82939,23,1,50.28
Royal Oak,British Columbia,Canada,V8X,Partial High School,Skilled Manual,M,S,0,1,0,0,55728,17,0,50
Sooke,British Columbia,Canada,V0,Bachelors,Skilled Manual,M,M,1,1,2,2,57903,54,1,52.12
Newton,British Columbia,Canada,V2M1N7,Graduate Degree,Skilled Manual,F,M,0,1,0,1,56677,24,0,48.25
Yakima,Washington,United States,98901,Partial College,Management,F,S,0,2,0,0,107659,19,0,54.75
London,England,United Kingdom,SW1P 2NU,Partial High School,Skilled Manual,F,M,1,2,1,2,59304,31,1,51.58
Cambridge,England,United Kingdom,CB4 4BZ,Partial High School,Manual,M,M,0,0,0,0,27141,16,0,44.95
Santa Cruz,California,United States,95062,Bachelors,Professional,F,S,1,2,0,1,133499,50,0,56.52
West Sussex,England,United Kingdom,RH15 9UD,Graduate Degree,Skilled Manual,M,M,1,1,0,2,57092,51,0,48.24
Oxon,England,United Kingdom,OX16 8RS,Graduate Degree,Manual,F,M,1,0,1,2,26305,50,0,48.8
Puyallup,Washington,United States,98371,High School,Skilled Manual,F,S,0,1,0,0,51775,21,0,50.8
Warrington,England,United Kingdom,WA3 7BH,Partial High School,Skilled Manual,M,M,1,0,1,2,57670,34,1,56.73
Courbevoie,Hauts de Seine,France,92400,Partial High School,Manual,M,M,0,0,0,0,28132,22,0,45.27
Suresnes,Hauts de Seine,France,92150,High School,Manual,F,M,1,1,1,2,32313,44,1,49.64
Spokane,Washington,United States,99202,Graduate Degree,Clerical,M,S,0,3,0,0,85835,29,0,54.34
Bothell,Washington,United States,98011,High School,Clerical,M,S,0,1,0,0,87703,17,0,53.67
Sunbury,Victoria,Australia,3429,Bachelors,Clerical,F,M,0,1,0,0,86213,18,0,49.45
Concord,California,United States,94519,Partial College,Skilled Manual,F,M,1,0,0,2,52617,39,0,48.15
Grossmont,California,United States,91941,Graduate Degree,Management,F,M,1,2,2,2,103903,57,1,52.81
Clarkston,Georgia,United States,30021,Graduate Degree,Manual,F,M,0,0,2,2,31816,24,1,49.66
Paris,Seine (Paris),France,75003,High School,Skilled Manual,F,S,0,1,0,0,61146,31,0,52.49
North Ryde,New South Wales,Australia,2113,Bachelors,Skilled Manual,M,M,1,1,1,2,62248,32,0,54.52
Lavender Bay,New South Wales,Australia,2060,Partial High School,Manual,F,M,0,1,0,1,29303,26,0,45.44
Croix,Nord,France,59170,Partial College,Manual,F,S,1,0,0,1,35887,54,1,48.93
Kirkby,England,United Kingdom,KB9,Bachelors,Management,M,M,1,2,0,0,104364,23,0,50.65
Les Ulis,Essonne,France,91940,Graduate Degree,Skilled Manual,F,M,1,1,1,2,54617,34,1,48.88
East Brisbane,Queensland,Australia,4169,Partial College,Clerical,M,M,1,1,1,2,83871,44,1,57.52
Warrnambool,Victoria,Australia,3280,Bachelors,Manual,M,M,1,1,1,2,35482,37,1,51.52
Hawthorne,Queensland,Australia,4171,Partial College,Skilled Manual,F,S,1,1,0,1,56369,60,0,49.87
Wokingham,England,United Kingdom,RG41 1QW,Graduate Degree,Professional,F,S,1,2,0,0,134816,27,0,53.2
Port Hammond,British Columbia,Canada,V6B 3P7,Partial College,Manual,F,M,1,1,1,1,34200,40,1,48.41
Malabar,New South Wales,Australia,2036,Bachelors,Skilled Manual,F,M,1,1,0,1,60473,34,0,48.92
Berlin,Hessen,Germany,12171,High School,Manual,M,M,0,1,1,1,34026,33,1,55.04
Beaverton,Oregon,United States,97005,Graduate Degree,Professional,F,M,1,2,0,1,127299,43,0,51.75
National City,California,United States,91950,Partial College,Skilled Manual,M,M,0,1,0,0,51811,22,0,49.03
Bendigo,Victoria,Australia,3550,Bachelors,Skilled Manual,F,M,0,0,0,0,61202,22,0,48.35
Everett,Washington,United States,98201,High School,Skilled Manual,M,S,1,1,0,0,57188,39,1,54.93
Redwood City,California,United States,94063,High School,Manual,M,M,0,0,1,1,32495,25,1,50.42
Hannover,Nordrhein-Westfalen,Germany,30601,Partial College,Clerical,M,M,1,1,1,2,81582,28,1,50.86
Versailles,Yveline,France,78000,High School,Clerical,F,S,0,3,0,0,82195,27,0,51.72
Spokane,Washington,United States,99202,Partial College,Manual,F,S,1,1,0,0,27400,47,0,49.5
Oak Bay,British Columbia,Canada,V8P,Graduate Degree,Skilled Manual,M,M,0,1,0,2,52259,25,0,47.88
London,England,United Kingdom,W1N 9FA,Bachelors,Clerical,F,M,1,1,0,2,82120,54,0,49.93
San Gabriel,California,United States,91776,Partial High School,Manual,M,M,1,1,1,2,29056,40,0,48.54
San Diego,California,United States,92102,Graduate Degree,Professional,M,M,1,1,1,1,133891,30,1,62.97
Bracknell,England,United Kingdom,RG12 8TB,High School,Skilled Manual,M,S,0,1,0,0,51391,27,0,50.61
Portland,Oregon,United States,97205,High School,Clerical,F,M,1,2,1,2,83996,47,1,50.05
Port Orchard,Washington,United States,98366,Partial College,Manual,F,S,0,1,0,0,31576,19,0,47.13
San Gabriel,California,United States,91776,Bachelors,Skilled Manual,F,S,0,1,0,0,54486,30,1,49.37
Boulogne-sur-Mer,Pas de Calais,France,62200,High School,Clerical,M,M,1,3,1,2,84334,40,1,60.66
Paris La Defense,Hauts de Seine,France,92081,Partial College,Skilled Manual,F,M,0,1,1,2,59461,25,1,52.46
Burbank,California,United States,91502,High School,Clerical,F,S,0,2,0,0,82832,21,1,51.5
Rhodes,New South Wales,Australia,2138,Bachelors,Manual,M,S,0,1,0,0,36801,17,1,51.1
Milton Keynes,England,United Kingdom,MK8 8DF,High School,Clerical,F,S,0,2,0,0,81335,23,1,51.7
San Gabriel,California,United States,91776,High School,Clerical,F,M,1,1,1,2,85443,40,0,50.89
Lane Cove,New South Wales,Australia,1597,Partial College,Skilled Manual,M,S,0,1,0,0,54525,37,0,49.84
Port Orchard,Washington,United States,98366,High School,Manual,F,S,1,1,0,0,33476,45,0,49.18
Colomiers,Garonne (Haute),France,31770,Partial College,Skilled Manual,M,M,0,1,0,2,52808,28,0,48.18
Yakima,Washington,United States,98901,Partial College,Skilled Manual,M,S,1,1,0,0,57140,43,1,51.37
Renton,Washington,United States,98055,Graduate Degree,Clerical,F,S,0,2,0,0,86962,27,0,54.8
Newton,British Columbia,Canada,V2M1S6,Partial College,Clerical,F,M,1,3,1,2,78907,37,1,51.12
Coronado,California,United States,92118,Bachelors,Professional,M,S,1,2,1,1,133359,54,1,57.21
Rhodes,New South Wales,Australia,2138,Partial College,Clerical,F,S,1,2,0,0,84192,35,0,51.61
Walla Walla,Washington,United States,99362,Graduate Degree,Management,M,M,1,1,0,2,108043,56,0,50.76
Frankfurt am Main,Saarland,Germany,60075,Graduate Degree,Professional,M,M,1,2,1,2,139082,27,1,56.3
Renton,Washington,United States,98055,Graduate Degree,Professional,M,M,1,3,0,0,133722,38,0,53.66
Berkeley,California,United States,94704,Partial College,Management,F,S,0,2,0,0,105797,18,0,52.23
Port Macquarie,New South Wales,Australia,2444,Graduate Degree,Management,F,S,0,0,0,0,102618,27,1,54.73
Leeds,England,United Kingdom,LE18,Partial College,Manual,F,M,1,1,1,1,32638,43,1,49.53
Leeds,England,United Kingdom,LE18,Graduate Degree,Management,F,M,1,2,0,0,110774,28,1,50.53
Burien,Washington,United States,98168,Partial College,Skilled Manual,M,S,0,2,0,0,61913,29,1,48.49
Langford,British Columbia,Canada,V9,High School,Skilled Manual,F,S,0,1,0,0,51197,18,0,50.73
Spring Valley,California,United States,91977,Graduate Degree,Clerical,F,M,1,1,1,2,86708,38,1,51.08
South Melbourne,Victoria,Australia,3205,Bachelors,Clerical,M,M,0,1,0,0,77552,23,0,50.46
Saint Ouen,Loir et Cher,France,41100,Partial College,Skilled Manual,F,S,0,0,0,0,58598,19,0,52.46
Shawnee,British Columbia,Canada,V9B 2C3,High School,Manual,F,M,1,1,1,2,27991,42,0,46.71
Bremerton,Washington,United States,98312,High School,Skilled Manual,F,S,0,2,0,0,54685,16,1,52.45
Peterborough,England,United Kingdom,PB12,Partial College,Clerical,F,M,1,2,0,1,86504,42,0,50.02
Burbank,California,United States,91502,Partial College,Skilled Manual,M,S,1,2,0,0,61527,46,1,54.51
Burlingame,California,United States,94010,High School,Manual,F,S,0,0,0,0,29964,21,0,47.62
Cliffside,British Columbia,Canada,V8Y 1L1,Partial College,Management,F,M,1,1,0,1,107122,33,1,51.59
Saint Ouen,Loir et Cher,France,41100,Bachelors,Skilled Manual,M,M,0,0,0,0,53310,23,0,48.35
München,Nordrhein-Westfalen,Germany,80074,Partial High School,Manual,M,S,0,1,0,0,30000,23,0,49.87
Cranbourne,Victoria,Australia,3977,Partial College,Manual,F,M,1,0,0,2,35754,59,0,46.93
Werne,Nordrhein-Westfalen,Germany,59368,Partial High School,Skilled Manual,F,S,0,0,0,0,60167,22,0,49.34
Port Macquarie,New South Wales,Australia,2444,Graduate Degree,Professional,M,S,1,3,0,0,131186,27,1,53.46
Colma,California,United States,94014,Partial High School,Manual,M,S,0,0,0,0,31407,16,0,46.37
Sydney,New South Wales,Australia,1002,Bachelors,Skilled Manual,F,S,0,1,0,0,59178,34,0,53.46
Issaquah,Washington,United States,98027,Bachelors,Clerical,M,M,1,1,1,1,77508,28,1,49.9
Puyallup,Washington,United States,98371,Graduate Degree,Management,F,M,1,1,1,1,112843,24,1,52.14
Braunschweig,Nordrhein-Westfalen,Germany,38001,Bachelors,Management,M,M,1,3,0,0,111307,30,1,59.78
Cergy,Val d'Oise,France,95000,Partial High School,Skilled Manual,M,S,0,1,0,0,54746,17,1,51.67
Solingen,Nordrhein-Westfalen,Germany,42651,Partial High School,Manual,F,S,0,1,0,0,30086,32,0,49.9
Olympia,Washington,United States,98501,Partial College,Manual,F,S,0,0,0,0,31079,32,0,45.46
Courbevoie,Hauts de Seine,France,92400,Bachelors,Management,M,M,1,1,1,2,107295,26,1,51.54
Beverly Hills,California,United States,90210,Graduate Degree,Professional,M,S,1,2,1,1,128103,63,1,52.36
Stuttgart,Saarland,Germany,70511,Partial College,Clerical,M,M,1,1,0,2,77062,45,1,58.44
Billericay,England,United Kingdom,CM11,Bachelors,Manual,M,M,0,0,1,2,30424,34,1,54.59
